rank,title,year,rating,genres,runtime,director,total revenue
1,The Shawshank Redemption,(1994),9.2,Drama,2h 22min,Frank Darabont,"$28,815,245"
2,Daeboo,(1972),9.1,Crime,2h 55min,Francis Ford Coppola,"$246,120,974"
3,The Godfather: Part II,(1974),9.0,Crime,3h 22min,Francis Ford Coppola,"$48,035,783"
4,The Dark Knight,(2008),9.0,Action,2h 32min,Christopher Nolan,"$1,005,455,211"
5,12 Angry Men,(1957),8.9,Crime,1h 36min,Sidney Lumet,$576
6,Schindler's List,(1993),8.9,Biography,3h 15min,Steven Spielberg,"$322,287,794"
7,The Lord of the Rings: The Return of the King,(2003),8.9,Action,3h 21min,Peter Jackson,"$1,142,271,098"
8,Pulp Fiction,(1994),8.8,Crime,2h 34min,Quentin Tarantino,"$222,831,817"
9,"Il buono, il brutto, il cattivo",(1966),8.8,Western,2h 41min,Sergio Leone,"$25,252,481"
10,The Lord of the Rings: The Fellowship of the Ring,(2001),8.8,Action,2h 58min,Peter Jackson,"$887,934,303"
11,Fight Club,(1999),8.8,Drama,2h 19min,David Fincher,"$101,218,804"
12,Forrest Gump,(1994),8.8,Drama,2h 22min,Robert Zemeckis,"$678,229,452"
13,Inception,(2010),8.7,Action,2h 28min,Christopher Nolan,"$869,848,912"
14,Star Wars: Episode V - The Empire Strikes Back,(1980),8.7,Action,2h 4min,Irvin Kershner,"$549,265,501"
15,The Lord of the Rings: The Two Towers,(2002),8.7,Action,2h 59min,Peter Jackson,"$951,227,416"
16,The Matrix,(1999),8.6,Action,2h 16min,Lana Wachowski,"$465,718,588"
17,Goodfellas,(1990),8.6,Biography,2h 26min,Martin Scorsese,"$46,884,665"
18,One Flew Over the Cuckoo's Nest,(1975),8.6,Drama,2h 13min,Milos Forman,"$108,997,629"
19,Shichinin no samurai,(1954),8.6,Action,3h 27min,Akira Kurosawa,"$322,773"
20,Se7en,(1995),8.6,Crime,2h 7min,David Fincher,"$327,333,559"
21,La vita è bella,(1997),8.6,Comedy,1h 56min,Roberto Benigni,"$230,098,753"
22,Cidade de Deus,(2002),8.6,Crime,2h 10min,Fernando Meirelles,"$30,680,793"
23,The Silence of the Lambs,(1991),8.6,Crime,1h 58min,Jonathan Demme,"$272,753,884"
24,It's a Wonderful Life,(1946),8.6,Drama,2h 10min,Frank Capra,"$6,130,720"
25,Star Wars,(1977),8.6,Action,2h 1min,George Lucas,"$775,768,912"
26,Saving Private Ryan,(1998),8.5,Drama,2h 49min,Steven Spielberg,"$482,349,603"
27,Sen to Chihiro no kamikakushi,(2001),8.5,Animation,2h 5min,Hayao Miyazaki,"$355,467,056"
28,The Green Mile,(1999),8.5,Crime,3h 9min,Frank Darabont,"$286,801,374"
29,Gisaengchung,(2019),8.5,Comedy,2h 12min,Bong Joon Ho,"$257,620,288"
30,Interstellar,(2014),8.5,Adventure,2h 49min,Christopher Nolan,"$694,474,510"
31,Léon,(1994),8.5,Action,1h 50min,Luc Besson,"$19,552,639"
