차 이름,모델명,가격,주요제원[엔진형식],주요제원[과급방식],주요제원[배기량],주요제원[연료],주요제원[연비(등급)],주요제원[승차인원],주요제원[구동방식],주요제원[변속기],엔진[엔진형식],엔진[배기량],엔진[연료],엔진[1회 충전 주행가능거리],엔진[에너지용량],엔진[모터최대출력],엔진[모터최대토크],성능[최고속도],성능[가속성능(0~100km/h)],성능[제동성능],성능[연비(등급)],성능[CO²배출량],치수[전장],치수[전폭],치수[전고],치수[축거],치수[윤거전],치수[윤거후],치수[공차중량],치수[승차인원],치수[전륜타이어],치수[후륜타이어],섀시[구동방식],섀시[변속기],섀시[전륜서스펜션],섀시[후륜서스펜션],섀시[전륜제동장치],섀시[후륜제동장치],섀시[스티어링]
2016 아이오닉 일렉트릭,n,"4,000만원",,정보없음,정보없음,전기,자동6.3km/kWh,5인승,전륜구동,자동1단,,정보없음,전기,191km,28.0kWh,88.0Kw,295.0Nm,165km/h,10.2초,정보없음,자동6.3km/kWh,정보없음,"4,470mm","1,820mm","1,450mm","2,700mm","1,555mm","1,564mm","1,445kg",5인승,205mm/55/16inch,205mm/55/16inch,전륜구동,자동1단,맥퍼슨스트럿,토션빔,디스크,디스크,랙앤피니언
2016 아이오닉 일렉트릭,Q,"4,300만원",,정보없음,정보없음,전기,자동6.3km/kWh,5인승,전륜구동,자동1단,,정보없음,전기,191km,28.0kWh,88.0Kw,295.0Nm,165km/h,10.2초,정보없음,자동6.3km/kWh,정보없음,"4,470mm","1,820mm","1,450mm","2,700mm","1,555mm","1,564mm","1,445kg",5인승,205mm/55/16inch,205mm/55/16inch,전륜구동,자동1단,맥퍼슨스트럿,토션빔,디스크,디스크,랙앤피니언
2017 아이오닉 일렉트릭,I,"3,840만원",,정보없음,정보없음,전기,자동6.3km/kWh,5인승,전륜구동,자동1단,,정보없음,전기,191km,28.0kWh,88.0Kw,295.0Nm,165km/h,10.2초,정보없음,자동6.3km/kWh,정보없음,"4,470mm","1,820mm","1,450mm","2,700mm","1,549mm","1,563mm","1,445kg",5인승,205mm/55/16inch,205mm/55/16inch,전륜구동,자동1단,맥퍼슨스트럿,토션빔,디스크,디스크,랙앤피니언
2017 아이오닉 일렉트릭,N,"4,000만원",,정보없음,정보없음,전기,자동6.3km/kWh,5인승,전륜구동,자동1단,,정보없음,전기,191km,28.0kWh,88.0Kw,295.0Nm,165km/h,10.2초,정보없음,자동6.3km/kWh,정보없음,"4,470mm","1,820mm","1,450mm","2,700mm","1,549mm","1,563mm","1,445kg",5인승,205mm/55/16inch,205mm/55/16inch,전륜구동,자동1단,맥퍼슨스트럿,토션빔,디스크,디스크,랙앤피니언
2017 아이오닉 일렉트릭,Q,"4,300만원",,정보없음,정보없음,전기,자동6.3km/kWh,5인승,전륜구동,자동1단,,정보없음,전기,191km,28.0kWh,88.0Kw,295.0Nm,165km/h,10.2초,정보없음,자동6.3km/kWh,정보없음,"4,470mm","1,820mm","1,450mm","2,700mm","1,555mm","1,564mm","1,445kg",5인승,205mm/55/16inch,205mm/55/16inch,전륜구동,자동1단,맥퍼슨스트럿,토션빔,디스크,디스크,랙앤피니언
2018 아이오닉 일렉트릭 ,electric,"3,915~4,215만원",,정보없음,정보없음,전기,자동6.3km/kWh,5인승,전륜구동,자동1단,,정보없음,전기,200km,28.0kWh,88.0Kw,295.0Nm,정보없음,정보없음,정보없음,자동6.3km/kWh,정보없음,"4,470mm","1,820mm","1,450mm","2,700mm","1,555mm","1,564mm","1,430kg",5인승,205mm/55/16inch,205mm/55/16inch,전륜구동,자동1단,맥퍼슨스트럿,토션빔,디스크,디스크,랙앤피니언
2018 코나 일렉트릭,180Ah,"4,650~4,850만원",,정보없음,정보없음,전기,자동5.6km/kWh,5인승,전륜구동,자동1단,,정보없음,전기,406km,64.0kWh,150.0Kw,395.0Nm,정보없음,정보없음,정보없음,자동5.6km/kWh,정보없음,"4,180mm","1,800mm","1,570mm","2,600mm","1,564mm","1,575mm","1,685kg",5인승,215mm/55/17inch,215mm/55/17inch,전륜구동,자동1단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언
2019 아이오닉 일렉트릭,120Ah,"4,140~4,440만원",,정보없음,정보없음,전기,CVT6.3km/kWh,5인승,전륜구동,자동(CVT),,정보없음,전기,271km,38.3kWh,100.0Kw,295.0Nm,정보없음,정보없음,정보없음,CVT6.3km/kWh,정보없음,"4,470mm","1,820mm","1,475mm","2,700mm","1,552mm","1,564mm","1,530kg",5인승,205mm/60/16inch,205mm/60/16inch,전륜구동,자동(CVT),맥퍼슨스트럿,토션빔,V디스크,디스크,랙앤피니언
2020 라페스타 EV,EV,"24,759달러",,정보없음,정보없음,전기,정보없음,5인승,전륜구동,자동,,정보없음,전기,490km,56.5kWh,150.0Kw,310.0Nm,정보없음,정보없음,정보없음,정보없음,정보없음,"4,705mm","1,709mm","1,435mm","2,700mm",정보없음,정보없음,정보없음,5인승,정보없음,정보없음,전륜구동,자동,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤피니언
2020 코나 일렉트릭,180Ah,"4,690~4,890만원",,정보없음,정보없음,전기,자동5.6km/kWh,5인승,전륜구동,자동1단,,정보없음,전기,406km,64.0kWh,150.0Kw,395.0Nm,정보없음,정보없음,정보없음,자동5.6km/kWh,정보없음,"4,180mm","1,800mm","1,570mm","2,600mm","1,564mm","1,575mm","1,685kg",5인승,215mm/55/17inch,215mm/55/17inch,전륜구동,자동1단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언
