차 이름,모델명,가격,주요제원[엔진형식],주요제원[과급방식],주요제원[배기량],주요제원[연료],주요제원[연비(등급)],주요제원[승차인원],주요제원[구동방식],주요제원[변속기],엔진[엔진형식],엔진[배기량],엔진[연료],엔진[최대출력],엔진[최대토크],엔진[합산출력],엔진[합산토크],성능[최고속도],성능[가속성능(0~100km/h)],성능[제동성능],성능[연비(등급)],성능[CO²배출량],치수[전장],치수[전폭],치수[전고],치수[축거],치수[윤거전],치수[윤거후],치수[공차중량],치수[승차인원],치수[전륜타이어],치수[후륜타이어],섀시[구동방식],섀시[변속기],섀시[전륜서스펜션],섀시[후륜서스펜션],섀시[전륜제동장치],섀시[후륜제동장치],섀시[스티어링]
1997 스타렉스,2.6 디젤,가격정보없음,l4,정보없음,"2,607cc",",디젤",정보없음정보없음,11인승,후륜구동,"자동4단,수동5단",l4,"2,607cc",",디젤",83hp,17.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,정보없음정보없음,정보없음,"5,035mm","1,820mm","1,965mm","3,080mm","1,570mm","1,545mm",정보없음,11인승,정보없음,정보없음,후륜구동,"자동4단,수동5단",더블위시본,5링크,V디스크,디스크,랙앤피니언
2007 베라크루즈,디젤 4WD 300,"3,670~4,345만원",V형6기통E-VGT,정보없음,"2,959~3,778cc","디젤,가솔린","자동8.1~10.7km/ℓ(3등급~5등급)별표*
",7인승,풀타임4륜구동,자동6단,V형6기통E-VGT,"2,959~3,778cc","디젤,가솔린",240~264hp,35.5~46.0kg.m,정보없음,정보없음,190km/h,정보없음,정보없음,"자동8.1~10.7km/ℓ(3등급~5등급)별표*
",정보없음,"4,840mm","1,945mm","1,750mm","2,805mm","1,670mm","1,670mm","2,110~2,112kg",7인승,245mm/60/18inch,245mm/60/18inch,풀타임4륜구동,자동6단,맥퍼슨스트럿,멀티링크코일스프링,디스크,디스크,랙앤피니언
2010 아반떼 하이브리드,1.6 HEV,"2,188~2,553만원",I4LPiDOHC,정보없음,"1,591cc","전기,LPG","CVT17.0~17.8km/ℓ(1등급)별표*
",5인승,전륜구동,자동(CVT),I4LPiDOHC,"1,591cc","전기,LPG",114hp,15.0~15.1kg.m,134hp,정보없음,정보없음,정보없음,정보없음,"CVT17.0~17.8km/ℓ(1등급)별표*
",99.0g/km,"4,535mm","1,775mm","1,490mm","2,650mm","1,550mm","1,550mm","1,297kg",5인승,185~195mm/65/15inch,185~195mm/65/15inch,전륜구동,자동(CVT),맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언
2011 아반떼 하이브리드,1.6 HEV,"2,054~2,316만원",I4LPiDOHC,정보없음,"1,591cc","전기,LPG","CVT17.8km/ℓ(1등급)별표*
",5인승,전륜구동,자동(CVT),I4LPiDOHC,"1,591cc","전기,LPG",114hp,15.1kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,"CVT17.8km/ℓ(1등급)별표*
",99.0g/km,"4,535mm","1,775mm","1,490mm","2,650mm","1,550mm","1,550mm","1,297kg",5인승,185~195mm/65/15inch,185~195mm/65/15inch,전륜구동,자동(CVT),맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언
2012 쏘나타 하이브리드,2.0 하이브리드,"2,824~3,232만원",I42.0누우(ν),정보없음,"1,999cc","전기,가솔린","자동21.0km/ℓ(하이브리드)별표*
",5인승,전륜구동,자동6단,I42.0누우(ν),"1,999cc","전기,가솔린",150hp,18.3kg.m,191hp,정보없음,정보없음,정보없음,정보없음,"자동21.0km/ℓ(하이브리드)별표*
",111.0g/km,"4,820mm","1,835mm","1,470mm","2,795mm","1,591mm","1,591mm","1,560kg",5인승,205~215mm/55~65/16~17inch,205~215mm/55~65/16~17inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언
2012 아반떼 하이브리드,1.6 HEV,"2,054~2,324만원",I41.6LPi,자연흡기,"1,591cc","전기,LPG",CVT14.0km/ℓ(2등급),5인승,전륜구동,자동(CVT),I41.6LPi,"1,591cc","전기,LPG",114hp,15.1kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,CVT14.0km/ℓ(2등급),92.0g/km,"4,535mm","1,775mm","1,490mm","2,650mm","1,550mm","1,550mm","1,297kg",5인승,185~195mm/65/15inch,185~195mm/65/15inch,전륜구동,자동(CVT),맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언
2013 쏘나타 하이브리드,2.0 하이브리드,"2,895~3,295만원",I42.0누우(ν),자연흡기,"1,999cc","전기,가솔린",자동16.8km/ℓ(하이브리드),5인승,전륜구동,자동6단,I42.0누우(ν),"1,999cc","전기,가솔린",150hp,18.3kg.m,191hp,정보없음,정보없음,정보없음,정보없음,자동16.8km/ℓ(하이브리드),100.0g/km,"4,820mm","1,835mm","1,470mm","2,795mm","1,591mm","1,591mm","1,560kg",5인승,205~215mm/55~65/16~17inch,205~215mm/55~65/16~17inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,디스크,디스크,랙앤피니언
2014 그랜저 하이브리드,2.4 HEV,"3,603만원",I4,자연흡기,"2,359cc","전기,가솔린",자동16.0km/ℓ(하이브리드),5인승,전륜구동,자동6단,I4,"2,359cc","전기,가솔린",159hp,21.0kg.m,204hp,정보없음,정보없음,정보없음,정보없음,자동16.0km/ℓ(하이브리드),105.0g/km,"4,910mm","1,860mm","1,470mm","2,845mm","1,613mm","1,614mm","1,680kg",5인승,225mm/55/17inch,225mm/55/17inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,디스크,랙앤드피니언
2014 쏘나타 하이브리드,2.0 하이브리드,"3,038~3,343만원",I4,자연흡기,"1,999cc","전기,가솔린",자동16.8km/ℓ(하이브리드),5인승,전륜구동,자동6단,I4,"1,999cc","전기,가솔린",150hp,18.3kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,자동16.8km/ℓ(하이브리드),100.0g/km,"4,820mm","1,835mm","1,470mm","2,795mm","1,591mm","1,591mm","1,560kg",5인승,205~215mm/55~65/16~17inch,205~215mm/55~65/16~17inch,전륜구동,자동6단,맥퍼슨스트럿,멀티링크,V디스크,V디스크,랙앤드피니언
2015 그랜드 스타렉스,2.4 Lpi 왜건,"2,150~2,270만원",I4,자연흡기,"2,359cc","디젤,LPG",자동6.3km/ℓ(5등급)수동6.6km/ℓ(5등급),12인승,후륜구동,"자동4단,수동5단",I4,"2,359cc","디젤,LPG",159hp,23.0kg.m,정보없음,정보없음,정보없음,정보없음,정보없음,자동6.3km/ℓ(5등급)수동6.6km/ℓ(5등급),206.0~218.0g/km,"5,125mm","1,920mm","1,925mm","3,200mm","1,685mm","1,660mm","2,165~2,180kg",12인승,215mm/70/16inch,215mm/70/16inch,후륜구동,"자동4단,수동5단",맥퍼슨스트럿,5링크,디스크,디스크,랙앤피니언
