차 이름,모델명,가격,주요제원[엔진형식],주요제원[과급방식],주요제원[배기량],주요제원[연료],주요제원[연비(등급)],주요제원[승차인원],주요제원[구동방식],주요제원[변속기],엔진[엔진형식],엔진[배기량],엔진[연료],엔진[최대출력],엔진[최대토크],성능[최고속도],성능[가속성능(0~100km/h)],성능[제동성능],성능[연비(등급)],성능[CO²배출량],치수[전장],치수[전폭],치수[전고],치수[축거],치수[윤거전],치수[윤거후],치수[공차중량],치수[승차인원],치수[전륜타이어],치수[후륜타이어],섀시[구동방식],섀시[변속기],섀시[전륜서스펜션],섀시[후륜서스펜션],섀시[전륜제동장치],섀시[후륜제동장치],섀시[스티어링],Error,Error
1990 엑셀 해치백,1.5 GL,가격정보없음,l4,자연흡기,"1,468cc",가솔린,수동15.3km/ℓ,정보없음,전륜구동,수동5단,l4,"1,468cc",가솔린,97hp,14.3kg.m,정보없음,정보없음,정보없음,수동15.3km/ℓ,정보없음,"4,100mm","1,605mm","1,385mm","2,385mm","1,390mm","1,340mm",정보없음,정보없음,정보없음,정보없음,전륜구동,수동5단,맥퍼슨스트럿,트레일링암,정보없음,정보없음,랙앤피니언,,
1990 엑셀 해치백,1.3 L,가격정보없음,l4,자연흡기,"1,298cc",가솔린,수동16.0km/ℓ,정보없음,전륜구동,수동4단,l4,"1,298cc",가솔린,82hp,12.1kg.m,정보없음,정보없음,정보없음,수동16.0km/ℓ,정보없음,"4,100mm","1,605mm","1,385mm","2,385mm","1,390mm","1,340mm",정보없음,정보없음,정보없음,정보없음,전륜구동,수동4단,맥퍼슨스트럿,트레일링암,정보없음,정보없음,랙앤피니언,,
1990 엑셀 해치백,1.5 L,가격정보없음,l4,자연흡기,"1,468cc",가솔린,수동16.3km/ℓ,정보없음,전륜구동,수동5단,l4,"1,468cc",가솔린,86hp,13.9kg.m,정보없음,정보없음,정보없음,수동16.3km/ℓ,정보없음,"4,100mm","1,605mm","1,385mm","2,385mm","1,390mm","1,340mm",정보없음,정보없음,정보없음,정보없음,전륜구동,수동5단,맥퍼슨스트럿,트레일링암,정보없음,정보없음,랙앤피니언,,
1990 엘란트라,1.6 DOHC,799만원,I41.5,정보없음,"1,596cc",가솔린,"자동11.8km/ℓ(3등급)별표*
",5인승,전륜구동,자동4단,I41.5,"1,596cc",가솔린,126hp,15.3kg.m,정보없음,정보없음,정보없음,"자동11.8km/ℓ(3등급)별표*
",정보없음,"4,375mm","1,675mm","1,395mm","2,500mm","1,430mm","1,430mm","1,118kg",5인승,정보없음,정보없음,전륜구동,자동4단,맥퍼슨스트럿,토션빔,정보없음,정보없음,랙앤피니언,,
1990 엘란트라,1.5 SOHC,649만원,I41.5,정보없음,"1,468cc",가솔린,"자동13.5km/ℓ(2등급)별표*
",5인승,전륜구동,자동4단,I41.5,"1,468cc",가솔린,90hp,13.5kg.m,정보없음,정보없음,정보없음,"자동13.5km/ℓ(2등급)별표*
",정보없음,"4,375mm","1,675mm","1,395mm","2,500mm","1,430mm","1,430mm","1,082kg",5인승,정보없음,정보없음,전륜구동,자동4단,맥퍼슨스트럿,토션빔,정보없음,정보없음,랙앤피니언,,
1991 스쿠프,1.5,695만원,l4,자연흡기,"1,468cc",가솔린,정보없음,4인승,전륜구동,수동5단,l4,"1,468cc",가솔린,84hp,12.2kg.m,170km/h,10.5초,정보없음,정보없음,정보없음,"4,209mm","1,610mm","1,341mm","2,380mm",정보없음,정보없음,980kg,4인승,175mm/70/13inch,173mm/70/13inch,전륜구동,수동5단,정보없음,정보없음,V디스크,드럼,랙앤피니언,,
1991 쏘나타,2.0 가솔린,"1,096만원",I4,자연흡기,"1,997cc",가솔린,"자동12.7km/ℓ(3등급)별표*
수동12.7km/ℓ(3등급)별표*
",5인승,전륜구동,"자동4단,수동5단",I4,"1,997cc",가솔린,102hp,16.0kg.m,정보없음,정보없음,정보없음,"자동12.7km/ℓ(3등급)별표*
수동12.7km/ℓ(3등급)별표*
",정보없음,"4,680mm","1,751mm","1,411mm","2,650mm","1,455mm","1,440mm","1,125~1,140kg",5인승,205mm/55/15inch,205mm/55/15inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,멀티링크코일스프링,디스크,드럼,랙앤피니언,,
1991 쏘나타,1.8 가솔린,907만원,I4,자연흡기,"1,795cc",가솔린,"자동11.8km/ℓ(3등급)별표*
수동11.8km/ℓ(3등급)별표*
",5인승,전륜구동,"자동4단,수동5단",I4,"1,795cc",가솔린,95hp,14.6kg.m,정보없음,정보없음,정보없음,"자동11.8km/ℓ(3등급)별표*
수동11.8km/ℓ(3등급)별표*
",정보없음,"4,680mm","1,751mm","1,411mm","2,650mm","1,455mm","1,440mm","1,225~1,240kg",5인승,205mm/55/15inch,205mm/55/15inch,전륜구동,"자동4단,수동5단",맥퍼슨스트럿,멀티링크코일스프링,디스크,드럼,랙앤피니언,,
1991 엑셀,1.5 가솔린,475~634만원,1.5SOHC,정보없음,"1,468~1,500cc",가솔린,"자동13.6km/ℓ(2등급)별표*
수동15.8km/ℓ(1등급)별표*
",5인승,전륜구동,"자동4단,수동4단",1.5SOHC,"1,468~1,500cc",가솔린,85~104hp,14.3kg.m,185km/h,정보없음,정보없음,"자동13.6km/ℓ(2등급)별표*
수동15.8km/ℓ(1등급)별표*
",정보없음,"3,985mm","1,595mm","1,380mm","2,380mm","1,375mm","1,340mm",정보없음,5인승,정보없음,정보없음,전륜구동,"자동4단,수동4단",정보없음,정보없음,정보없음,정보없음,정보없음,,
1991 엑셀,1.3 가솔린,455~613만원,1.3SOHC,정보없음,"1,298cc",가솔린,"자동13.6km/ℓ(2등급)별표*
수동15.8km/ℓ(1등급)별표*
",5인승,전륜구동,"자동4단,수동4단",1.3SOHC,"1,298cc",가솔린,77hp,11.0kg.m,173~185km/h,정보없음,정보없음,"자동13.6km/ℓ(2등급)별표*
수동15.8km/ℓ(1등급)별표*
",정보없음,"3,985mm","1,595mm","1,380mm","2,380mm","1,375mm","1,340mm",정보없음,5인승,정보없음,정보없음,전륜구동,"자동4단,수동4단",정보없음,정보없음,정보없음,정보없음,정보없음,,
